RECIPE_NAME,MACHINE_MODEL,MACHINE_ID,MACHINE_MODULE,LOT_ID,INPUT_MAG_NO,LF_ID,DATE,UNIT_NO,ROW_NO,COL_NO,GROUP_NO,WIRE_NO,BallSizeX,BallSizeY,BallHeight,BallSplashX,BallSplashY
IHawk AERO 2x2 v19-AI_V5,AeroScope,AS-001,,LOT01,38,2,2020-07-21 18:03:32.203,2,1,1,1,30,40.194088,41.142086,9.918829,47.340164,48.316338
IHawk AERO 2x2 v19-AI_V5,AeroScope,AS-001,,LOT01,38,2,2020-07-22 14:45:18.187,2,1,1,1,31,40.07773,41.11956,9.6500025,47.31515,47.948082
