RECIPE_NAME,MACHINE_MODEL,MACHINE_ID,MACHINE_MODULE,LOT_ID,INPUT_MAG_NO,LF_ID,DATE,UNIT_NO,ROW_NO,COL_NO,GROUP_NO,WIRE_NO,BallShear,StitchPull
IHawk AERO 2x2 v19-AI_V5,AutoGauge,AG-001,,LOT01,38,2,03:32.2,2,1,1,1,30,19.75723,8.413795
IHawk AERO 2x2 v19-AI_V5,AutoGauge,AG-001,,LOT01,38,2,45:18.2,2,1,1,1,31,19.966627,8.463865
